
model = GPT2

sentence = 'c a n <sp> y o u <sp> l i s t e n <sp> t o <sp> m e <sp> p l e a s e <sp> l o o k <sp> i n <sp> m y <sp> e y e s'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( a | c ...) = 0.075213 [ -1.123710 ]
p( n | a ...) = 0.082203 [ -1.085114 ]
p( _ | n ...) = 0.249642 [ -0.602683 ]
p( y | _ ...) = 0.049816 [ -1.302630 ]
p( o | y ...) = 0.276756 [ -0.557902 ]
p( u | o ...) = 0.309901 [ -0.508776 ]
p( _ | u ...) = 0.260915 [ -0.583501 ]
p( l | _ ...) = 0.020775 [ -1.682449 ]
p( i | l ...) = 0.172592 [ -0.762978 ]
p( s | i ...) = 0.079131 [ -1.101651 ]
p( t | s ...) = 0.081129 [ -1.090826 ]
p( e | t ...) = 0.227410 [ -0.643191 ]
p( n | e ...) = 0.109999 [ -0.958611 ]
p( _ | n ...) = 0.312885 [ -0.504615 ]
p( t | _ ...) = 0.279943 [ -0.552931 ]
p( o | t ...) = 0.315163 [ -0.501465 ]
p( _ | o ...) = 0.312069 [ -0.505750 ]
p( m | _ ...) = 0.088865 [ -1.051269 ]
p( e | m ...) = 0.230562 [ -0.637212 ]
p( _ | e ...) = 0.311070 [ -0.507142 ]
p( p | _ ...) = 0.034030 [ -1.468144 ]
p( l | p ...) = 0.228017 [ -0.642033 ]
p( e | l ...) = 0.156456 [ -0.805608 ]
p( a | e ...) = 0.313228 [ -0.504140 ]
p( s | a ...) = 0.303214 [ -0.518251 ]
p( e | s ...) = 0.315241 [ -0.501357 ]
p( _ | e ...) = 0.313086 [ -0.504337 ]
p( l | _ ...) = 0.100352 [ -0.998474 ]
p( o | l ...) = 0.076664 [ -1.115407 ]
p( o | o ...) = 0.144364 [ -0.840541 ]
p( k | o ...) = 0.019517 [ -1.709592 ]
p( _ | k ...) = 0.303039 [ -0.518502 ]
p( i | _ ...) = 0.076150 [ -1.118328 ]
p( n | i ...) = 0.242877 [ -0.614613 ]
p( _ | n ...) = 0.155156 [ -0.809231 ]
p( m | _ ...) = 0.154658 [ -0.810627 ]
p( y | m ...) = 0.301889 [ -0.520152 ]
p( _ | y ...) = 0.313338 [ -0.503988 ]
p( e | _ ...) = 0.058286 [ -1.234434 ]
p( y | e ...) = 0.166759 [ -0.777910 ]
p( e | y ...) = 0.314205 [ -0.502787 ]
p( s | e ...) = 0.273848 [ -0.562491 ]
sum logprob = -35.1228, per-symbol logprob = -0.8168, ppl = 6.5586

sentence = 'i t <sp> s u d d e n l y <sp> b e c o m e s <sp> i m p o r t a n t'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( t | i ...) = 0.078008 [ -1.107859 ]
p( _ | t ...) = 0.209261 [ -0.679312 ]
p( s | _ ...) = 0.025013 [ -1.601834 ]
p( u | s ...) = 0.060175 [ -1.220581 ]
p( d | u ...) = 0.042463 [ -1.371991 ]
p( d | d ...) = 0.073508 [ -1.133666 ]
p( e | d ...) = 0.049734 [ -1.303348 ]
p( n | e ...) = 0.122065 [ -0.913407 ]
p( l | n ...) = 0.281156 [ -0.551053 ]
p( y | l ...) = 0.273672 [ -0.562769 ]
p( _ | y ...) = 0.313471 [ -0.503802 ]
p( b | _ ...) = 0.097668 [ -1.010248 ]
p( e | b ...) = 0.223902 [ -0.649942 ]
p( c | e ...) = 0.213013 [ -0.671594 ]
p( o | c ...) = 0.166039 [ -0.779789 ]
p( m | o ...) = 0.294794 [ -0.530482 ]
p( e | m ...) = 0.247239 [ -0.606883 ]
p( s | e ...) = 0.275162 [ -0.560412 ]
p( _ | s ...) = 0.313471 [ -0.503802 ]
p( i | _ ...) = 0.044180 [ -1.354776 ]
p( m | i ...) = 0.161086 [ -0.792943 ]
p( p | m ...) = 0.268996 [ -0.570255 ]
p( o | p ...) = 0.247042 [ -0.607229 ]
p( r | o ...) = 0.031248 [ -1.505183 ]
p( t | r ...) = 0.085585 [ -1.067602 ]
p( a | t ...) = 0.314387 [ -0.502536 ]
p( n | a ...) = 0.187495 [ -0.727010 ]
p( t | n ...) = 0.244628 [ -0.611494 ]
sum logprob = -24.9148, per-symbol logprob = -0.8591, ppl = 7.2299

sentence = 'y o u <sp> k n o w <sp> s o m e t h i n g'
p( y | <s> ...) = 0.020894 [ -1.679973 ]
p( o | y ...) = 0.150989 [ -0.821056 ]
p( u | o ...) = 0.291616 [ -0.535188 ]
p( _ | u ...) = 0.241365 [ -0.617326 ]
p( k | _ ...) = 0.014513 [ -1.838233 ]
p( n | k ...) = 0.208375 [ -0.681155 ]
p( o | n ...) = 0.277829 [ -0.556222 ]
p( w | o ...) = 0.056379 [ -1.248884 ]
p( _ | w ...) = 0.249769 [ -0.602461 ]
p( s | _ ...) = 0.026239 [ -1.581060 ]
p( o | s ...) = 0.234531 [ -0.629800 ]
p( m | o ...) = 0.280699 [ -0.551759 ]
p( e | m ...) = 0.319016 [ -0.496187 ]
p( t | e ...) = 0.207251 [ -0.683504 ]
p( h | t ...) = 0.298517 [ -0.525031 ]
p( i | h ...) = 0.303908 [ -0.517258 ]
p( n | i ...) = 0.313227 [ -0.504140 ]
p( g | n ...) = 0.023358 [ -1.631566 ]
sum logprob = -15.7008, per-symbol logprob = -0.8723, ppl = 7.4519

sentence = 'w i l l <sp> y o u <sp> c a l l <sp> t h e m'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( i | w ...) = 0.089398 [ -1.048670 ]
p( l | i ...) = 0.098644 [ -1.005928 ]
p( l | l ...) = 0.143218 [ -0.844001 ]
p( _ | l ...) = 0.313471 [ -0.503802 ]
p( y | _ ...) = 0.042485 [ -1.371769 ]
p( o | y ...) = 0.266317 [ -0.574601 ]
p( u | o ...) = 0.310160 [ -0.508414 ]
p( _ | u ...) = 0.257897 [ -0.588553 ]
p( c | _ ...) = 0.033352 [ -1.476882 ]
p( a | c ...) = 0.117195 [ -0.931090 ]
p( l | a ...) = 0.169204 [ -0.771588 ]
p( l | l ...) = 0.303581 [ -0.517725 ]
p( _ | l ...) = 0.312357 [ -0.505349 ]
p( t | _ ...) = 0.111746 [ -0.951769 ]
p( h | t ...) = 0.303628 [ -0.517658 ]
p( e | h ...) = 0.213452 [ -0.670700 ]
p( m | e ...) = 0.184344 [ -0.734371 ]
sum logprob = -14.7940, per-symbol logprob = -0.8219, ppl = 6.6357

sentence = 'i t <sp> h a p p e n s <sp> t o <sp> b e <sp> m y <sp> f a v o r i t e'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( t | i ...) = 0.078008 [ -1.107859 ]
p( _ | t ...) = 0.209261 [ -0.679312 ]
p( h | _ ...) = 0.053254 [ -1.273650 ]
p( a | h ...) = 0.230602 [ -0.637138 ]
p( p | a ...) = 0.044464 [ -1.351996 ]
p( p | p ...) = 0.034005 [ -1.468455 ]
p( e | p ...) = 0.277848 [ -0.556193 ]
p( n | e ...) = 0.271210 [ -0.566694 ]
p( s | n ...) = 0.150671 [ -0.821969 ]
p( _ | s ...) = 0.313471 [ -0.503802 ]
p( t | _ ...) = 0.196480 [ -0.706682 ]
p( o | t ...) = 0.257970 [ -0.588430 ]
p( _ | o ...) = 0.306222 [ -0.513963 ]
p( b | _ ...) = 0.238747 [ -0.622062 ]
p( e | b ...) = 0.316673 [ -0.499389 ]
